LAnkle	LAnkle	LAnkle	LAnkleMed	LAnkleMed	LAnkleMed	LASIS	LASIS	LASIS	LHeel	LHeel	LHeel	LKnee	LKnee	LKnee	LKneeMed	LKneeMed	LKneeMed	LShank	LShank	LShank	LThigh	LThigh	LThigh	LToe	LToe	LToe	RAnkle	RAnkle	RAnkle	RAnkleMed	RAnkleMed	RAnkleMed	RASIS	RASIS	RASIS	RHeel	RHeel	RHeel	RKnee	RKnee	RKnee	RKneeMed	RKneeMed	RKneeMed	RShank	RShank	RShank	RThigh	RThigh	RThigh	RToe	RToe	RToe	VSacral	VSacral	VSacral																			
X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z																				
-0.399618	0.506054	0.10234	-0.361996	0.426594	0.112966	-0.280878	0.462656	1.026198	-0.457029	0.447382	0.061695	-0.331314	0.500764	0.519072	-0.305289	0.400325	0.490266	-0.316708	0.492516	0.34957	-0.256283	0.476771	0.67554	-0.193598	0.511574	0.04386	-0.542566	0.170737	0.111913	-0.449773	0.183834	0.112823	-0.295777	0.190023	1.015208	-0.539467	0.255091	0.077904	-0.431568	0.137738	0.514691	-0.357856	0.21418	0.484694	-0.436536	0.1342	0.333856	-0.322908	0.151855	0.627766	-0.428388	0.014713	0.048467	-0.518468	0.340095	0.999771																			1	0
-0.399554	0.50605	0.102244	-0.361962	0.426551	0.112781	-0.280102	0.463416	1.026025	-0.456956	0.447349	0.061608	-0.331072	0.501107	0.518865	-0.30528	0.400728	0.490173	-0.316615	0.492801	0.349403	-0.255719	0.477295	0.675449	-0.193574	0.511505	0.043724	-0.542211	0.17062	0.112635	-0.449388	0.183689	0.113208	-0.295561	0.190727	1.015294	-0.539292	0.254992	0.07858	-0.429689	0.136582	0.514881	-0.35618	0.212806	0.484706	-0.435277	0.13334	0.333941	-0.321545	0.151139	0.628241	-0.428071	0.014873	0.048749	-0.517929	0.341296	0.999852																			2	0.003333
-0.399503	0.506017	0.102167	-0.361924	0.426503	0.112688	-0.279414	0.464004	1.025883	-0.456881	0.447294	0.061546	-0.330856	0.501409	0.518741	-0.305072	0.400939	0.490157	-0.316487	0.493059	0.349279	-0.255473	0.477444	0.675127	-0.193546	0.511553	0.043655	-0.541789	0.170516	0.113295	-0.448991	0.183686	0.113477	-0.295044	0.191414	1.015624	-0.539064	0.254905	0.079218	-0.427791	0.13531	0.514999	-0.354336	0.211385	0.484891	-0.433982	0.132623	0.334088	-0.320098	0.150479	0.628741	-0.427801	0.015032	0.049028	-0.517336	0.342308	0.999747																			3	0.006667
-0.399403	0.505929	0.102011	-0.36185	0.426743	0.112749	-0.278567	0.464783	1.025704	-0.456941	0.447406	0.061639	-0.330687	0.501774	0.518624	-0.304932	0.401123	0.49006	-0.316292	0.49323	0.349117	-0.254911	0.477989	0.675017	-0.193552	0.511536	0.043502	-0.541279	0.170399	0.114012	-0.448485	0.183725	0.113947	-0.294858	0.192163	1.015788	-0.538776	0.254881	0.079925	-0.425736	0.134124	0.515305	-0.350541	0.209252	0.486479	-0.432593	0.131834	0.334195	-0.318666	0.149718	0.629353	-0.427409	0.01529	0.049234	-0.516811	0.34337	0.999838																			4	0.01
-0.399337	0.505911	0.101922	-0.361832	0.426738	0.112639	-0.277944	0.465368	1.025435	-0.45685	0.44723	0.061448	-0.330456	0.502109	0.51845	-0.304703	0.401439	0.489987	-0.316185	0.493554	0.348967	-0.254497	0.478339	0.674852	-0.193536	0.511553	0.043394	-0.540799	0.170251	0.114761	-0.448082	0.183696	0.114279	-0.294536	0.19286	1.016058	-0.538505	0.254817	0.080716	-0.423707	0.132853	0.515559	-0.348476	0.20798	0.486784	-0.431148	0.131102	0.334365	-0.317033	0.148906	0.63019	-0.427035	0.015563	0.049586	-0.516262	0.34439	0.999795																			5	0.013333
-0.399216	0.505803	0.10185	-0.361761	0.426541	0.112594	-0.277281	0.466001	1.025256	-0.456697	0.447178	0.061355	-0.330198	0.50242	0.518365	-0.304549	0.401773	0.489897	-0.316004	0.493997	0.34881	-0.254166	0.478725	0.674593	-0.193482	0.511511	0.043331	-0.540203	0.170217	0.115528	-0.447499	0.183922	0.114669	-0.294299	0.193538	1.016207	-0.538155	0.254701	0.081341	-0.421619	0.131678	0.515756	-0.346384	0.206549	0.486888	-0.429472	0.130503	0.334574	-0.315687	0.148533	0.630676	-0.42653	0.015913	0.049849	-0.515509	0.345113	1.000154																			6	0.016667
-0.399227	0.505837	0.101659	-0.361723	0.426584	0.11242	-0.276655	0.466619	1.024929	-0.456954	0.447351	0.061684	-0.329988	0.502654	0.518149	-0.304265	0.402115	0.489938	-0.315836	0.494305	0.348761	-0.25364	0.479088	0.674511	-0.193644	0.511549	0.043183	-0.539802	0.170089	0.116404	-0.447072	0.184059	0.115098	-0.294227	0.194334	1.016322	-0.537889	0.254616	0.082084	-0.419596	0.130345	0.516089	-0.344145	0.205132	0.487255	-0.42837	0.129871	0.334569	-0.314083	0.147778	0.631434	-0.426248	0.016273	0.050076	-0.515715	0.346171	1.000161																			7	0.02
-0.39917	0.505825	0.101568	-0.361678	0.426513	0.112336	-0.275928	0.467212	1.024774	-0.456905	0.447346	0.061595	-0.329764	0.502942	0.517955	-0.304274	0.402589	0.489586	-0.315673	0.494455	0.348562	-0.253254	0.479461	0.674314	-0.193619	0.511493	0.043137	-0.539151	0.170064	0.117256	-0.446435	0.18422	0.115647	-0.293862	0.194887	1.016597	-0.537537	0.254585	0.082867	-0.417366	0.129237	0.516365	-0.342035	0.203806	0.487539	-0.426818	0.129225	0.334701	-0.312401	0.147029	0.632133	-0.425622	0.01665	0.050539	-0.515282	0.347159	1.000255																			8	0.023333
-0.399134	0.505824	0.101506	-0.36165	0.426522	0.112272	-0.275267	0.467673	1.024551	-0.456923	0.44732	0.061573	-0.329593	0.503197	0.51777	-0.303823	0.402813	0.489573	-0.315508	0.494753	0.348427	-0.253148	0.479687	0.673897	-0.193622	0.511506	0.043047	-0.538505	0.169955	0.118182	-0.445796	0.184522	0.116176	-0.293543	0.19544	1.016871	-0.537185	0.254536	0.083709	-0.41518	0.127884	0.516848	-0.339722	0.20229	0.487904	-0.425149	0.128561	0.334891	-0.310673	0.146175	0.632902	-0.424963	0.01714	0.050954	-0.514809	0.348121	1.000254																			9	0.026667
-0.399079	0.505812	0.101447	-0.361611	0.426481	0.11217	-0.274557	0.468296	1.024378	-0.456943	0.447376	0.061627	-0.329324	0.503477	0.517626	-0.30351	0.403061	0.489462	-0.315387	0.494932	0.348286	-0.252827	0.479903	0.673751	-0.193582	0.511504	0.042881	-0.537775	0.169821	0.119084	-0.445204	0.184791	0.116786	-0.293511	0.196143	1.017	-0.536808	0.254587	0.084587	-0.412869	0.126771	0.517238	-0.337494	0.200915	0.488304	-0.423385	0.127935	0.335184	-0.309104	0.145217	0.633733	-0.424162	0.017716	0.051344	-0.514422	0.349058	1.000281																			10	0.03
-0.399035	0.50579	0.101353	-0.361591	0.42649	0.112079	-0.273913	0.468834	1.024162	-0.456868	0.447325	0.061529	-0.329078	0.503671	0.517456	-0.303136	0.403386	0.489552	-0.315142	0.495065	0.348154	-0.252193	0.48035	0.673817	-0.193601	0.511497	0.042828	-0.537059	0.169759	0.120173	-0.44455	0.185081	0.117441	-0.293306	0.196598	1.017216	-0.536474	0.254616	0.08552	-0.41055	0.125466	0.517647	-0.335047	0.19935	0.488928	-0.42158	0.127422	0.335507	-0.307299	0.144279	0.634622	-0.423303	0.01836	0.051787	-0.514069	0.349892	1.000321																			11	0.033333
-0.398995	0.50582	0.10137	-0.3615	0.426456	0.112017	-0.273395	0.469241	1.023867	-0.456852	0.447316	0.061501	-0.328802	0.503929	0.517392	-0.302995	0.403701	0.489389	-0.314999	0.495241	0.348036	-0.252138	0.480565	0.673481	-0.1936	0.511488	0.042758	-0.536247	0.169605	0.121157	-0.443816	0.185449	0.118066	-0.293004	0.197011	1.017494	-0.536184	0.254555	0.086543	-0.408205	0.124352	0.518079	-0.332986	0.198186	0.489292	-0.419759	0.126934	0.335769	-0.305667	0.143428	0.635384	-0.422302	0.01913	0.052359	-0.513673	0.350728	1.000391																			12	0.036667
-0.398945	0.505794	0.101297	-0.361524	0.426513	0.112036	-0.272688	0.469792	1.023661	-0.456859	0.447299	0.061534	-0.328536	0.504106	0.517252	-0.302507	0.403861	0.489425	-0.314815	0.495415	0.347977	-0.251432	0.481181	0.673576	-0.19361	0.511487	0.042666	-0.535468	0.169596	0.122357	-0.44309	0.185905	0.118765	-0.292973	0.197533	1.017632	-0.53583	0.254536	0.087485	-0.405913	0.123184	0.518493	-0.330683	0.196796	0.489832	-0.41787	0.126414	0.336116	-0.303916	0.142358	0.636279	-0.421193	0.019911	0.052853	-0.513262	0.351586	1.000419																			13	0.04
-0.398908	0.505814	0.1013	-0.3615	0.42649	0.112048	-0.272124	0.470155	1.023478	-0.456839	0.447334	0.061532	-0.328303	0.504277	0.51717	-0.302403	0.404088	0.489318	-0.314626	0.495531	0.347834	-0.251143	0.481549	0.673411	-0.193595	0.511485	0.042601	-0.53459	0.169437	0.123499	-0.442403	0.186296	0.119446	-0.292789	0.198028	1.017804	-0.53554	0.254513	0.088454	-0.403696	0.122028	0.519032	-0.328499	0.195645	0.490348	-0.415995	0.126077	0.336448	-0.30212	0.141291	0.637218	-0.419897	0.020764	0.05342	-0.51288	0.352407	1.000429																			14	0.043333
-0.398866	0.505822	0.101281	-0.361471	0.426548	0.11205	-0.271538	0.470561	1.023313	-0.456836	0.447308	0.061575	-0.327987	0.504509	0.517119	-0.302059	0.404349	0.489327	-0.314419	0.495573	0.347766	-0.250758	0.48183	0.67332	-0.193553	0.511489	0.042523	-0.533694	0.169283	0.124494	-0.441681	0.187058	0.120242	-0.29268	0.198426	1.018036	-0.535277	0.254369	0.089463	-0.401264	0.121202	0.519376	-0.326646	0.194522	0.490747	-0.414055	0.125657	0.336843	-0.300442	0.140294	0.638122	-0.418497	0.021766	0.054018	-0.512547	0.353161	1.000468																			15	0.046667
-0.398804	0.505866	0.10127	-0.361404	0.426469	0.112073	-0.270945	0.4709	1.023127	-0.456842	0.447379	0.06165	-0.327684	0.504655	0.517055	-0.301764	0.404451	0.489221	-0.314183	0.495675	0.347734	-0.250764	0.481752	0.67301	-0.19358	0.511474	0.042461	-0.532748	0.169142	0.125625	-0.440924	0.187601	0.120988	-0.292581	0.198787	1.018202	-0.535062	0.254263	0.0905	-0.398979	0.120228	0.519853	-0.32398	0.193281	0.491605	-0.412117	0.125395	0.337272	-0.298854	0.139331	0.639019	-0.416882	0.022725	0.054721	-0.512186	0.353904	1.000483																			16	0.05
-0.39874	0.505854	0.101247	-0.361354	0.42652	0.112015	-0.270316	0.471273	1.022946	-0.45677	0.447332	0.061581	-0.327416	0.504836	0.517017	-0.301605	0.40468	0.489245	-0.314001	0.49564	0.347607	-0.250404	0.481995	0.67298	-0.19354	0.511468	0.042395	-0.531801	0.168966	0.12676	-0.440235	0.188142	0.121629	-0.292218	0.1991	1.018518	-0.534873	0.254197	0.09143	-0.396799	0.119105	0.520265	-0.322337	0.192514	0.491951	-0.41013	0.125053	0.337632	-0.297075	0.138342	0.639835	-0.415016	0.023713	0.055411	-0.511854	0.354715	1.00061																			17	0.053333
