L.Ankle	L.Ankle	L.Ankle	L.Ankle.Med	L.Ankle.Med	L.Ankle.Med	L.ASIS	L.ASIS	L.ASIS	L.Heel	L.Heel	L.Heel	L.Knee	L.Knee	L.Knee	L.Knee.Med	L.Knee.Med	L.Knee.Med	L.Shank	L.Shank	L.Shank	L.Thigh	L.Thigh	L.Thigh	L.Toe	L.Toe	L.Toe	R.Ankle	R.Ankle	R.Ankle	R.Ankle.Med	R.Ankle.Med	R.Ankle.Med	R.ASIS	R.ASIS	R.ASIS	R.Heel	R.Heel	R.Heel	R.Knee	R.Knee	R.Knee	R.Knee.Med	R.Knee.Med	R.Knee.Med	R.Shank	R.Shank	R.Shank	R.Thigh	R.Thigh	R.Thigh	R.Toe	R.Toe	R.Toe	V.Sacral	V.Sacral	V.Sacral	FRAMES	TIME
X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	X
-0.03931	0.490936	0.11731	-0.003564	0.409986	0.123443	0.143914	0.413826	1.035684	-0.100586	0.436081	0.077241	0.053357	0.461549	0.52938	0.074545	0.362383	0.4945	0.054575	0.462722	0.360967	0.149607	0.428179	0.677385	0.161274	0.487805	0.053807	-0.031321	0.093401	0.110018	0.033201	0.159408	0.121647	0.134388	0.142161	1.032823	-0.077926	0.162068	0.085983	0.023853	0.110819	0.521615	0.05792	0.206671	0.500348	0.043041	0.1112	0.343838	0.122442	0.136916	0.634179	0.160921	0.055103	0.053381	-0.088857	0.284747	1.014339	1	0
-0.039319	0.490927	0.117318	-0.003558	0.409971	0.123527	0.143934	0.413819	1.035672	-0.100585	0.436101	0.077197	0.053343	0.46149	0.52936	0.074525	0.362348	0.494479	0.054567	0.462734	0.360966	0.149558	0.428073	0.677321	0.161295	0.487797	0.053779	-0.031321	0.093375	0.110004	0.03316	0.159386	0.121643	0.134424	0.142099	1.032804	-0.077951	0.16201	0.086009	0.023805	0.110782	0.521623	0.057896	0.206707	0.500357	0.043037	0.11122	0.343827	0.122468	0.136903	0.634239	0.160915	0.055119	0.053368	-0.088868	0.284748	1.014384	2	0.003333
-0.03931	0.490937	0.117279	-0.00351	0.409925	0.123526	0.143954	0.41382	1.035667	-0.100572	0.436076	0.077195	0.053347	0.461496	0.529352	0.074453	0.362309	0.49443	0.054553	0.462702	0.360966	0.149554	0.428067	0.677334	0.161286	0.48779	0.053793	-0.031299	0.093383	0.110008	0.033152	0.159405	0.121652	0.134446	0.142074	1.032802	-0.07794	0.161997	0.085952	0.023816	0.1108	0.521593	0.057889	0.206692	0.500346	0.042988	0.111198	0.343813	0.122571	0.136785	0.634263	0.160936	0.055081	0.053352	-0.088845	0.284683	1.014342	3	0.006667
-0.03927	0.490897	0.11727	-0.003613	0.410117	0.123652	0.143922	0.413742	1.03565	-0.100578	0.436055	0.077198	0.053354	0.461483	0.52936	0.074459	0.362353	0.494425	0.054584	0.462715	0.360965	0.149558	0.428002	0.677318	0.161287	0.487768	0.053813	-0.031319	0.093351	0.110002	0.033155	0.159402	0.121629	0.134396	0.14208	1.032781	-0.077954	0.162034	0.086035	0.023799	0.110777	0.521548	0.057904	0.206639	0.500404	0.043028	0.111173	0.343848	0.122167	0.136749	0.634116	0.160908	0.055097	0.053368	-0.088873	0.284618	1.014353	4	0.01
-0.039285	0.490871	0.117266	-0.003586	0.410098	0.123696	0.143948	0.413714	1.03564	-0.100558	0.436077	0.077197	0.053318	0.46145	0.529347	0.074452	0.362325	0.494468	0.054531	0.46264	0.360897	0.149507	0.427983	0.677379	0.161294	0.487799	0.053772	-0.031299	0.093366	0.109979	0.033167	0.159347	0.121621	0.134422	0.142016	1.032773	-0.077928	0.162023	0.085944	0.023791	0.110751	0.521543	0.057923	0.206609	0.500378	0.043043	0.111147	0.343839	0.122673	0.136805	0.634334	0.160921	0.055094	0.053366	-0.088842	0.284605	1.014297	5	0.013333
-0.039244	0.490823	0.117231	-0.003532	0.409975	0.123725	0.144001	0.413774	1.035693	-0.100494	0.43602	0.077194	0.053282	0.461457	0.529337	0.074379	0.362416	0.494449	0.054521	0.46264	0.360943	0.1495	0.427969	0.677344	0.161288	0.487825	0.05381	-0.031269	0.093365	0.10999	0.033192	0.159391	0.121705	0.134429	0.142066	1.032807	-0.077853	0.161948	0.085922	0.023872	0.110659	0.521588	0.057956	0.206607	0.500419	0.043052	0.111269	0.343894	0.12265	0.136753	0.63423	0.160932	0.055096	0.053435	-0.088717	0.284482	1.014239	6	0.016667
-0.039252	0.49085	0.117209	-0.003579	0.409932	0.123661	0.143955	0.413712	1.035635	-0.100647	0.436052	0.077259	0.053302	0.461393	0.529319	0.074389	0.362385	0.494489	0.054588	0.462623	0.360937	0.149549	0.427926	0.677341	0.16132	0.487741	0.053788	-0.031484	0.09337	0.109955	0.033226	0.159426	0.121701	0.134447	0.142015	1.032769	-0.078069	0.162009	0.085997	0.023788	0.11078	0.521733	0.057971	0.206554	0.500406	0.042939	0.111212	0.343816	0.122439	0.136867	0.634207	0.16088	0.055043	0.053311	-0.088922	0.284568	1.014419	7	0.02
-0.03923	0.490826	0.117184	-0.003543	0.409996	0.123582	0.143964	0.413692	1.035615	-0.100634	0.436093	0.077295	0.053334	0.461343	0.529332	0.074447	0.362393	0.494461	0.054591	0.462569	0.360931	0.149575	0.427927	0.677369	0.16132	0.487795	0.053769	-0.031492	0.093397	0.109966	0.033213	0.159379	0.12167	0.134442	0.142011	1.03276	-0.078088	0.162057	0.086008	0.023773	0.110755	0.521729	0.057945	0.206546	0.500409	0.042935	0.111221	0.343789	0.122307	0.136797	0.63417	0.160895	0.055079	0.053305	-0.088941	0.284516	1.01442	8	0.023333
-0.039245	0.490852	0.117233	-0.003586	0.409944	0.123642	0.143974	0.413687	1.035604	-0.100635	0.436105	0.077266	0.053319	0.461362	0.529339	0.074434	0.362328	0.494422	0.05458	0.462621	0.360938	0.149553	0.427899	0.677385	0.161333	0.487767	0.053788	-0.031503	0.09338	0.109957	0.033219	0.159404	0.121701	0.134483	0.141989	1.032783	-0.078131	0.162006	0.085978	0.023794	0.110785	0.521712	0.05791	0.20657	0.500423	0.042922	0.111206	0.343796	0.122262	0.136872	0.634098	0.160902	0.05502	0.053345	-0.088956	0.284469	1.014382	9	0.026667
